taxa	taxonomy	081A	082A	083A	084A	085A	086A	091A	093A	094A	098A	099A	100A	101A	107A	108A	109A	10A	116A	118A	119A	11A	120A	13A	15A	18A	1A	20A	21A	24A	25A	28A	29A	31A	34A	35A	37A	39A	3A	6A	7A
Syntrophomonadaceae	d__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Syntrophomonadaceae	1	32	10	0	1	0	22	0	0	4	1	9	0	3	22	0	7	1	2	3	0	2	0	86	0	2	1	26	12	1	0	1	0	0	1	3	3	7	53	1
Halanaerobiaceae	d__Bacteria|p__Firmicutes|c__Clostridia|o__Halanaerobiales|f__Halanaerobiaceae	16	8	2	25	12	5	23	5	1	21	44	12	4	1	12	11	64	1	8	6	7	0	7	17	12	11	7	32	73	7	5	1	4	12	1	2	18	12	2	14
Halobacteroidaceae	d__Bacteria|p__Firmicutes|c__Clostridia|o__Halanaerobiales|f__Halobacteroidaceae	6	2	2	3	4	15	6	0	1	17	0	0	0	5	8	9	19	3	4	30	6	5	4	12	0	10	10	5	22	7	4	1	10	1	6	3	14	3	14	12
Natranaerobiaceae	d__Bacteria|p__Firmicutes|c__Clostridia|o__Natranaerobiales|f__Natranaerobiaceae	5	0	1	4	1	4	0	0	0	0	0	0	0	0	0	0	8	0	1	0	0	0	0	0	1	2	0	0	0	1	0	0	2	0	0	0	1	1	1	0
Thermoanaerobacteraceae	d__Bacteria|p__Firmicutes|c__Clostridia|o__Thermoanaerobacterales|f__Thermoanaerobacteraceae	68	62	20	69	17	30	72	27	22	98	13	136	26	15	41	21	88	26	21	29	58	60	29	105	45	119	34	75	133	38	52	60	35	61	52	49	52	68	61	67
Thermoanaerobacterales_Family_III._Incertae_Sedis	d__Bacteria|p__Firmicutes|c__Clostridia|o__Thermoanaerobacterales|f__Thermoanaerobacterales_Family_III._Incertae_Sedis	53	25	26	35	35	50	76	12	26	39	71	32	37	17	22	14	90	27	17	33	52	43	29	29	21	26	17	45	71	42	27	12	40	30	81	28	62	25	23	50
Thermoanaerobacterales_Family_IV._Incertae_Sedis	d__Bacteria|p__Firmicutes|c__Clostridia|o__Thermoanaerobacterales|f__Thermoanaerobacterales_Family_IV._Incertae_Sedis	46	10	47	16	10	7	25	1	10	7	35	5	49	8	4	2	21	11	15	5	4	22	8	19	6	11	4	17	5	28	1	3	23	0	5	9	76	11	3	12
Thermodesulfobiaceae	d__Bacteria|p__Firmicutes|c__Clostridia|o__Thermoanaerobacterales|f__Thermodesulfobiaceae	3	2	1	3	1	7	3	28	0	1	0	3	3	0	1	18	0	0	0	0	1	0	0	4	0	2	0	2	9	4	1	0	1	0	1	0	1	0	0	3
Erysipelotrichaceae	d__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	1294	1671	981	983	785	558	1380	474	653	690	710	1202	1075	764	681	1437	1848	859	9264	618	1329	1193	2340	660	1266	620	694	788	594	2419	837	449	531	1713	288	663	2762	1460	1044	2276
Acidaminococcaceae	d__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Acidaminococcaceae	96	44	151	196	164	12	78	217	85	276	4	568	93	108	79	132	108	171	131	246	1402	281	22	358	246	223	261	99	160	201	247	670	108	132	201	280	204	176	163	109
Veillonellaceae	d__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae	1208	10260	193	333	1051	5718	341	363098	479462	354	613	515	272	156	349	109146	2740	171	111	175	126628	241	14085	46367	15110	50481	83561	12142	212903	288	666	8558	34679	429	10619	4963	770	65385	20045	1146
Fusobacteriaceae	d__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae	86	112	74	103	15	277	334	987	39	29	7614	715	27	1	17	664	38	160	15	13	101	554	423	78	148	76	31	33	58	82	7	175	14	38	122	40	19	12	20	22
Leptotrichiaceae	d__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Leptotrichiaceae	50	19	14	28	17	23	100	124	5	29	1183	111	15	8	10	93	67	33	21	5	21	78	125	35	72	24	12	24	82	17	12	15	72	15	45	68	49	14	49	48
Gemmatimonadaceae	d__Bacteria|p__Gemmatimonadetes|c__Gemmatimonadetes|o__Gemmatimonadales|f__Gemmatimonadaceae	7	0	0	7	1	0	0	6	4	4	0	3	0	1	0	5	8	3	0	1	1	1	0	3	2	10	4	12	3	3	2	0	2	3	2	4	0	4	1	0
Ignavibacteriaceae	d__Bacteria|p__Ignavibacteriae|c__Ignavibacteria|o__Ignavibacteriales|f__Ignavibacteriaceae	4	2	7	4	0	20	6	2	0	5	0	4	0	4	1	0	5	0	7	2	7	8	5	5	12	3	5	4	2	7	3	2	8	9	10	0	19	6	1	1
Melioribacteraceae	d__Bacteria|p__Ignavibacteriae|c__Ignavibacteria|o__Ignavibacteriales|f__Melioribacteraceae	6	3	2	3	0	14	2	7	2	0	1	5	13	1	5	1	2	12	2	5	0	2	3	1	2	4	1	2	0	3	0	6	1	2	6	2	0	2	3	0
Nitrospiraceae	d__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae	11	3	0	4	2	5	3	4	6	7	4	4	8	1	1	2	6	0	3	2	7	2	1	12	18	3	1	8	4	2	4	4	5	2	4	10	21	2	6	4
Phycisphaeraceae	d__Bacteria|p__Planctomycetes|c__Phycisphaerae|o__Phycisphaerales|f__Phycisphaeraceae	22	2	0	2	1	0	18	0	1	7	0	72	21	1	2	12	10	1	4	7	2	5	1	4	3	8	5	6	18	0	4	4	3	2	3	4	5	6	4	0
Planctomycetaceae	d__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Planctomycetales|f__Planctomycetaceae	15	23	15	17	14	4	52	13	3	29	1	35	37	15	21	12	22	33	23	17	17	13	12	16	31	10	14	15	41	14	11	14	12	10	6	13	23	21	16	32
