taxa	taxonomy	081A	082A	083A	084A	085A	086A	091A	093A	094A	098A	099A	100A	101A	107A	108A	109A	10A	116A	118A	119A	11A	120A	13A	15A	18A	1A	20A	21A	24A	25A	28A	29A	31A	34A	35A	37A	39A	3A	6A	7A
Starkeya	d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Xanthobacteraceae|g__Starkeya	0	1	1	2	1	1	7	0	0	5	2	6	1	12	7	2	4	3	2	23	4	3	0	1	2	4	1	2	4	2	5	0	1	3	4	3	0	6	2	0
Xanthobacter	d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Xanthobacteraceae|g__Xanthobacter	0	9	1	9	5	1	0	2	0	5	1	9	10	3	11	4	4	0	15	0	2	1	1	0	6	1	0	5	9	3	5	10	3	3	1	2	1	0	0	2
Candidatus_Hodgkinia	d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|g__Candidatus_Hodgkinia	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hirschia	d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Hyphomonadaceae|g__Hirschia	6	18	2	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	14	0	14	0	31	0	0	0	6	3	0	0	14	4	0	1	0	0	1	10	0
Hyphomonas	d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Hyphomonadaceae|g__Hyphomonas	10	19	0	7	9	1	8	6	2	9	1	12	0	2	10	6	1	2	0	42	7	19	0	9	6	4	5	9	3	0	4	8	10	6	6	2	1	12	3	5
Maricaulis	d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Hyphomonadaceae|g__Maricaulis	3	0	0	0	0	0	0	0	0	2	0	0	0	0	6	0	11	0	0	2	0	1	1	6	1	1	0	1	0	0	3	0	0	7	1	1	3	0	5	6
Dinoroseobacter	d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Dinoroseobacter	0	0	0	4	0	0	2	0	1	2	0	1	0	4	0	7	4	1	1	14	0	8	0	3	6	0	1	3	1	3	1	3	1	3	2	1	1	3	0	1
Jannaschia	d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Jannaschia	0	1	0	0	0	0	0	1	2	1	0	0	0	0	2	6	0	0	0	0	0	0	1	0	8	0	0	0	4	0	0	0	1	0	1	0	0	1	0	1
Ketogulonicigenium	d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Ketogulonicigenium	2	3	0	0	1	0	0	0	1	3	0	0	0	0	2	1	1	1	1	2	0	7	0	2	1	3	0	6	17	1	0	2	0	1	2	4	2	1	1	4
Leisingera	d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Leisingera	3	9	4	6	0	0	4	9	0	18	0	20	2	13	1	7	8	1	0	37	3	19	4	8	16	1	2	10	14	2	2	1	7	3	1	2	2	9	3	1
Octadecabacter	d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Octadecabacter	0	1	0	0	0	3	3	0	0	3	0	0	0	1	0	1	8	0	0	2	5	2	0	0	2	4	0	0	6	0	3	3	0	1	0	6	0	0	1	0
Paracoccus	d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Paracoccus	15	9	4	7	0	1	9	8	0	24	1	18	13	6	7	9	17	4	2	34	7	14	7	24	19	23	2	19	18	1	2	5	7	12	8	7	2	18	5	1
Phaeobacter	d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Phaeobacter	3	1	0	4	2	2	7	0	0	5	0	8	5	4	2	10	2	0	1	7	1	4	0	4	0	1	4	1	1	1	2	3	2	2	0	0	1	1	1	10
Pseudovibrio	d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Pseudovibrio	62	0	1	8	0	2	4	9	40	3	1	5	1	5	1	14	7	3	0	36	0	5	13	6	21	17	18	16	11	7	11	1	1	9	1	11	13	0	6	7
Rhodobacter	d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Rhodobacter	30	6	3	14	3	0	17	5	0	35	0	45	20	15	34	30	18	3	3	17	3	31	10	13	28	18	14	33	50	5	14	11	20	5	8	11	15	17	12	21
Roseobacter	d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Roseobacter	9	6	0	0	3	0	0	0	0	5	4	2	6	3	5	0	1	1	9	0	12	2	3	26	3	5	2	0	4	0	1	17	0	0	1	6	1	6	1	0
