sample	Puniceicoccaceae	Micrococcaceae	Moraxellaceae	Paenibacillaceae 1	Actinomycetaceae	Methylocystaceae	Acidaminococcaceae	Cytophagaceae	SAR11	Sphingomonadaceae	Dermabacteraceae	Methanobacteriaceae	Enterobacteriaceae	Campylobacteraceae	Aeromonadaceae	Ruminococcaceae	Bacillaceae 1	Vibrionaceae	Rhodospirillaceae	Pasteurellaceae	Nannocystaceae	Rubritaleaceae	Cyclobacteriaceae	Rhizobiales_incertae_sedis	Pseudonocardiaceae	Bacteriovoracaceae	Bacteroidales_incertae_sedis	Porphyromonadaceae	Rhizobiaceae	Cryomorphaceae	Cohaesibacteraceae	Coxiellaceae	Corynebacteriaceae	Kordiimonadaceae	Coriobacteriaceae	Desulfuromonadaceae	Francisellaceae	Colwelliaceae	Verrucomicrobiaceae	Hahellaceae	Flavobacteriaceae	Bifidobacteriaceae	Victivallaceae	Rikenellaceae	Flammeovirgaceae	Methylobacteriaceae	Burkholderiales_incertae_sedis	Streptococcaceae	Leptotrichiaceae	Parachlamydiaceae	Oxalobacteraceae	Comamonadaceae	Deferribacteraceae	Fusobacteriaceae	Rhodothermaceae	Shewanellaceae	Rhodocyclaceae	Desulfovibrionaceae	Chitinophagaceae	Intrasporangiaceae	Nitrosopumilaceae	Family II	Kiloniellaceae	Planctomycetaceae	Neisseriaceae	Erythrobacteraceae	Peptococcaceae 1	Aerococcaceae	Thiotrichales_incertae_sedis	Acanthopleuribacteraceae	Leuconostocaceae	Clostridiaceae 1	Clostridiaceae 2	Promicromonosporaceae	Prevotellaceae	Bacteroidaceae	Dietziaceae	Erysipelotrichaceae	Helicobacteraceae	Burkholderiaceae	Desulfobacteraceae	Microbacteriaceae	Brevibacteriaceae	Moritellaceae	Pseudomonadaceae	Piscirickettsiaceae	Cardiobacteriaceae	Bdellovibrionaceae	Mycoplasmataceae	Carnobacteriaceae	Halomonadaceae	Planococcaceae	Clostridiales_Incertae Sedis XIII	Rhodobacteraceae	Enterococcaceae	Acidimicrobiaceae	Staphylococcaceae	Saprospiraceae	Alteromonadaceae	Veillonellaceae	Chloroplast	Phycisphaeraceae	Aurantimonadaceae	Succinivibrionaceae	Sphingobacteriaceae	Hyphomicrobiaceae	Lactobacillaceae	Lachnospiraceae	Bradyrhizobiaceae	Clostridiales_Incertae Sedis XI	Alcaligenaceae	Thermaceae	Alcanivoracaceae	Synergistaceae	Caulobacteraceae	Incertae Sedis XI	Pseudoalteromonadaceae	Desulfobulbaceae	Brucellaceae	Sutterellaceae	Hyphomonadaceae	Eubacteriaceae	Peptostreptococcaceae	Oceanospirillaceae	Xanthomonadaceae	Bacillales_Incertae Sedis XI
3A_2	0	0	0	0	15	0	1858	0	0	0	0	0	287	0	0	16995	0	1	0	37	0	0	0	0	0	0	0	3594	0	0	0	0	2	0	375	0	0	0	1	0	2	104	0	1159	0	0	0	229	1	0	0	0	0	1	0	0	0	28	0	0	0	0	0	0	0	0	178	0	0	0	0	156	0	0	71805	2399	0	5565	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	1	0	0	0	0	0	9763	1	0	0	1	0	0	19	38136	0	0	0	0	0	0	0	0	0	0	0	173	0	1	155	0	0	2
3A_1	0	0	0	0	17	0	1910	0	0	0	1	0	299	0	0	17677	0	1	0	36	0	0	0	0	0	0	0	3752	0	0	0	0	2	0	291	0	0	0	2	0	1	108	0	1186	0	0	0	217	1	0	0	0	0	1	0	0	0	30	0	0	0	0	0	0	0	0	260	0	0	0	0	168	0	0	72613	2619	0	5637	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	3	0	0	0	0	0	9740	1	0	0	1	0	0	21	39804	0	0	0	0	0	0	0	0	0	0	0	168	0	1	149	0	0	2
6A_2	0	0	0	0	4	0	2265	0	0	0	0	0	2312	0	0	24831	0	0	0	45	0	0	0	0	0	0	0	553	0	0	0	0	0	0	25	0	0	0	2	0	0	12	0	597	0	0	0	30	0	0	0	0	0	7	0	1	0	532	0	0	0	0	0	0	0	0	0	0	0	0	0	107	0	0	117	42937	0	413	0	0	0	0	0	0	0	0	0	0	0	1	5	0	1	0	0	0	0	0	0	707	0	0	0	2	0	0	7	24227	0	1	0	0	0	0	0	0	0	0	0	3815	0	2	228	0	0	0
B029A_1	0	0	0	0	1	0	61	0	0	0	0	0	4730	2	0	5676	0	0	0	95	0	0	0	0	0	0	0	223	0	0	0	0	0	0	15	0	0	0	0	0	0	32	1	148	0	0	0	247	0	0	9	2	0	14	0	3	0	46	0	0	0	0	0	0	3	0	0	0	0	0	9	24	0	0	58592	1159	0	113	0	0	0	0	0	0	0	0	1	0	0	1	2	0	3	1	0	0	0	0	0	3428	0	0	0	2624	0	0	17	3763	0	1	0	0	0	2	0	0	0	0	0	255	0	0	65	0	0	2
098A_2	0	0	0	0	0	0	4099	0	0	0	0	0	954	1	0	53245	0	0	0	47	0	0	0	0	0	0	0	2990	0	0	0	0	1	0	9	0	0	0	1813	0	2	166	24	3199	0	0	0	16	0	0	0	1	0	0	0	9	0	352	0	0	0	0	0	0	0	0	0	0	0	0	4	15	0	0	201	53921	0	176	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	197	0	0	0	0	0	0	0	22398	0	0	0	0	0	0	0	0	0	0	0	4077	0	0	59	0	0	1
6A_1	0	0	0	0	5	0	2413	0	0	0	0	0	2554	0	0	26754	0	0	0	45	0	0	0	0	0	0	0	725	0	0	0	0	0	0	25	0	0	0	0	0	0	13	0	662	0	0	0	28	0	0	0	0	0	2	0	1	0	571	0	0	0	0	0	0	0	0	0	0	0	0	0	93	0	0	23	46033	0	508	0	0	0	0	0	0	0	0	0	0	0	1	5	0	1	0	0	0	0	0	0	749	0	0	0	0	0	0	4	26650	0	1	0	0	0	0	0	0	0	0	0	4055	0	2	345	0	0	0
B029A_2	0	0	0	0	1	0	58	0	0	0	0	0	4587	1	0	5547	0	0	0	89	0	0	0	0	0	0	0	202	0	0	0	0	0	0	14	0	0	0	0	0	0	30	1	128	0	0	0	252	0	0	7	2	0	14	0	1	0	46	0	0	0	0	0	0	2	0	0	0	0	0	9	24	0	0	57649	1043	0	111	0	0	0	0	0	0	0	0	1	0	0	1	3	0	3	1	0	0	0	0	0	3331	0	0	0	2589	0	0	17	3564	0	1	0	0	0	2	0	0	0	0	0	254	0	0	50	0	0	2
098A_1	0	0	0	0	0	0	4284	0	0	0	0	0	977	1	0	54575	0	0	0	48	0	0	0	0	0	0	0	3118	0	0	0	0	1	0	9	0	0	0	1821	0	0	175	27	3328	0	0	0	15	0	0	0	1	0	0	0	8	0	364	0	0	0	0	0	0	0	0	0	0	0	0	4	16	0	0	156	56831	0	203	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	215	0	0	0	0	0	0	0	24452	0	0	0	0	0	0	0	0	0	0	0	4164	0	0	63	0	0	1
085A_2	0	0	0	0	0	0	116	0	0	0	0	0	1333	0	0	14499	0	0	0	7	0	0	0	0	0	0	0	163	0	0	0	0	0	0	4	0	0	0	3162	0	0	112	0	1	0	0	0	8	0	0	0	0	0	0	0	1	0	182	0	0	0	0	0	0	1	0	0	0	0	0	7	451	0	0	72371	6721	0	58	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	3115	0	0	0	0	0	0	6	12958	0	1	0	0	0	23	0	0	0	0	0	550	0	46	31	0	0	0
085A_1	0	0	0	0	2	0	120	0	0	0	0	0	1424	0	0	14838	0	0	0	6	0	0	0	0	0	0	0	238	0	0	0	0	0	0	4	0	0	0	3124	0	0	122	0	3	0	0	0	8	0	0	0	0	0	0	0	0	0	190	0	0	0	0	0	0	1	0	0	0	0	0	7	476	0	0	74471	7221	0	60	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	3376	0	0	0	0	0	0	7	14170	0	1	0	0	0	24	0	0	0	0	0	553	0	48	34	0	0	0
