sample	Fusobacteria	Acidobacteria	Tenericutes	Chlamydiae	Firmicutes	Deferribacteres	Marinimicrobia	Proteobacteria	Planctomycetes	Thaumarchaeota	Crenarchaeota	Verrucomicrobia	Deinococcus-Thermus	Cyanobacteria/Chloroplast	Actinobacteria	Bacteroidetes	Euryarchaeota	Candidatus Saccharibacteria	Lentisphaerae	Synergistetes	SR1
B093A_2	7397	6	0	0	46323	0	0	6156	0	0	0	1	0	1	22	56774	0	0	0	0	0
B093A_1	7416	0	0	0	46529	0	0	6203	0	0	0	1	0	1	22	57401	0	0	0	0	0
B083A_1	11	0	0	0	46370	0	0	10028	0	0	0	0	0	0	614	72522	0	0	0	11	0
B083A_2	10	5	0	0	45904	0	0	9900	0	0	0	0	0	0	596	71800	0	0	0	11	0
B039A_2	24	5	0	0	33653	0	0	2723	0	0	0	12	0	0	17	53969	4	0	0	0	0
3A_2	2	5	0	0	85378	0	0	583	0	0	1	1	0	1	513	84113	0	0	0	0	0
3A_1	2	0	0	0	85838	0	0	598	0	0	0	2	0	1	482	84240	0	0	0	0	0
6A_2	7	11	0	0	60595	0	0	7269	0	0	0	2	0	0	43	47073	0	0	0	0	0
B029A_1	14	0	0	0	15816	0	0	8705	0	0	0	0	0	0	54	62185	0	2	1	2	0
098A_2	0	3	0	0	99811	0	0	5925	0	0	0	1815	0	0	185	71766	0	0	24	0	0
6A_1	2	0	0	0	62391	0	0	7623	0	0	0	0	0	0	45	48458	0	0	0	0	0
B029A_2	14	4	0	0	15615	0	0	8538	0	0	0	0	0	0	53	61490	0	2	1	2	0
098A_1	0	0	0	0	100759	0	0	5945	0	0	0	1822	0	0	190	71880	0	0	27	0	0
085A_2	0	1	0	0	35533	0	0	2809	0	0	0	3163	0	0	124	84787	0	0	0	23	0
085A_1	0	0	0	0	36013	0	0	2864	0	0	0	3126	0	0	134	85210	0	0	0	24	0
B025A_2	0	1	0	0	33361	0	0	2518	0	0	0	0	0	134	64	45477	0	0	0	0	0
B025A_1	0	0	0	0	33603	0	0	2571	0	0	0	0	0	140	66	45890	0	0	0	0	0
119A_1	15	0	0	0	43906	0	0	34368	0	0	0	0	0	0	762	24929	0	0	0	3	0
082A_2	0	3	0	0	56355	0	0	3037	0	0	0	66	0	2	59	40532	0	2	0	0	0
B101A_1	42	0	0	0	53357	0	0	14982	0	0	0	18	0	5	723	45588	0	0	0	0	0
119A_2	15	3	0	0	43236	0	0	34323	0	0	3	0	0	0	746	24992	0	0	0	3	0
082A_1	0	0	0	0	57109	0	0	3057	0	0	0	64	0	2	55	40627	0	2	0	0	0
B101A_2	41	2	0	0	52936	0	0	14879	0	0	0	14	0	5	709	45159	0	0	0	0	0
B100A_1	33	3	0	0	34851	0	0	5213	2	8	0	28	0	11	40	51759	0	0	0	0	1
21A_1	3	0	0	0	74833	0	0	4167	0	0	0	1	0	0	528	79973	52	0	12	16	0
B100A_2	35	6	0	0	34532	0	0	5157	2	8	0	29	0	11	41	51314	0	0	0	0	1
21A_2	3	7	0	0	73336	0	0	4156	0	0	0	1	0	0	508	79449	54	0	12	15	0
083A_2	21	1	0	0	27293	0	0	4307	0	0	0	0	0	1	485	39631	0	0	0	2	0
7A_2	0	3	0	0	118766	0	0	1825	0	0	0	0	0	0	112	38764	0	3	0	1	0
120A_1	1427	0	0	0	44032	0	0	4132	0	0	0	5	0	0	117	48021	0	0	0	1	0
7A_1	0	0	0	0	119124	0	0	1860	0	0	0	0	0	0	115	38803	0	3	0	1	0
083A_1	21	0	0	0	27620	0	0	4311	0	0	0	0	0	1	505	39759	0	0	0	2	0
120A_2	1418	5	0	0	43785	0	0	4107	0	0	0	4	0	0	114	47629	0	0	0	1	0
B082A_2	0	2	0	0	84421	0	0	5047	0	0	0	4	0	1	96	18498	0	0	0	0	0
B035A_2	2008	6	0	0	58288	0	0	3705	0	0	1	1658	0	0	21	88820	13	0	51	1	0
B035A_1	2040	0	0	0	60252	0	0	3983	0	0	0	1679	0	0	22	90697	13	0	55	1	0
10A_1	24	0	0	0	52144	0	0	704	0	0	0	95	0	1	1569	22717	0	0	0	0	0
B082A_1	0	0	0	0	84810	0	0	5071	0	0	0	4	0	1	96	18727	0	0	0	0	0
10A_2	25	4	0	0	51740	0	0	682	0	0	0	94	0	1	1536	22363	0	0	0	0	0
B109A_2	12318	7	0	0	61182	0	0	4300	6	0	0	6	0	36	626	28748	13	0	0	0	0
B034A_1	0	0	0	0	65786	0	0	515	0	0	0	100	0	1	634	47601	0	3	0	1	0
