sample	Pediococcus	Oribacterium	Erysipelotrichaceae_incertae_sedis	Clostridium sensu stricto	Haliscomenobacter	Oleibacter	Halomonas	Salinimonas	Enterorhabdus	Oxalobacter	Ochrobactrum	Allobaculum	Arcanobacterium	Herbaspirillum	Parvimonas	Sphingomonas	Succinivibrio	Cryptobacterium	Oscillibacter	Providencia	Dialister	Thalassomonas	Bacteriovorax	Hallella	Parasutterella	Paracoccus	Plesiomonas	Eubacterium	Tepidimonas	Lactonifactor	Butyricicoccus	Arsenicicoccus	Meiothermus	Polaribacter	Allomonas	Variovorax	Subdoligranulum	Veillonella	Lactococcus	Paraprevotella	Akkermansia	Phascolarctobacterium	Sporobacter	Aggregatibacter	Gordonibacter	Leptotrichia	Candidatus Pelagibacter	Geobacillus	Collinsella	Shewanella	Mobiluncus	Rikenella	Blastopirellula	Alishewanella	Aliivibrio	Oceanobacter	Vagococcus	Roseburia	Methanobrevibacter	Sarcina	Buttiauxella	Prevotella	Luteolibacter	Faecalibacterium	Pseudoalteromonas	Gaetbulibacter	Aerococcus	Proteus	Altererythrobacter	Neptunomonas	Formosa	Cerasicoccus	Anaerofustis	Aestuariibacter	Ruminococcus	Ralstonia	Parascardovia	Flavonifractor	Enterococcus	Acetitomaculum	Marinomonas	Anaerostipes	Finegoldia	Kocuria	Oligella	Robinsoniella	Cellulosilyticum	Methylobacterium	Pseudoramibacter	Neisseria	Comamonas	Isobaculum	Dorea	Anaerococcus	Lewinella	Marvinbryantia	Tatumella	Blautia	Vampirovibrio	Alloprevotella	Desulfopila	Desulfovibrio	Parabacteroides	Rubritalea	Gardnerella	Endozoicomonas	Acidovorax	Mesoflavibacter	Bacteroides	Psychrobacter	Alcanivorax	Olsenella	Parachlamydia	Basfia	Fangia	Serratia	Oceanicola	Vibrio	Acinetobacter	Clavibacter	Marinimicrobia_genera_incertae_sedis	Ponticaulis	Mannheimia	Marinobacterium	Anaeroglobus	Methylophaga	Coprobacillus	Martelella	Pseudomonas	Umboniibacter	Clostridium XI	Pantoea	Alistipes	Limnobacter	Flammeovirga	Pyramidobacter	Haliea	Holdemania	Stenotrophomonas	Cryptomonadaceae	Thiohalomonas	Pseudobutyrivibrio	Acetivibrio	Dolosigranulum	Morganella	Massilia	Shimwellia	Granulicatella	Kordia	Corallibacter	Eggerthella	Owenweeksia	Roseovarius	Salmonella	Psychrosphaera	GpIIa	Clostridium XIX	Oceanospirillum	Helicobacter	Alloscardovia	Enterobacter	Pasteurella	Naxibacter	Paenibacillus	Johnsonella	Anaerosporobacter	Odoribacter	Cellulosimicrobium	Shuttleworthia	Clostridium IV	Paralactobacillus	Lachnoanaerobaculum	Mitsuokella	Fusobacterium	Papillibacter	Devosia	Acanthopleuribacter	Hydrotalea	Mesonia	Colwellia	Cronobacter	Mycoplasma	Streptococcus	Paraeggerthella	Novispirillum	Butyricimonas	Gallibacterium	Enterovibrio	Marivita	Eikenella	Aquimarina	Pedobacter	Corynebacterium	Novosphingobium	Litoreibacter	Cloacibacterium	Anaerotruncus	Bulleidia	Kosakonia	Pseudoflavonifractor	Mucispirillum	Tannerella	Loktanella	Chryseobacterium	Peptostreptococcus	Scardovia	Rhodospirillum	Methanosphaera	Allisonella	Thalassobius	Peptoniphilus	Kordiimonas	Clostridium XlVa	Clostridium XlVb	Bacillariophyta	Macrococcus	Streptophyta	Bergeriella	Lonsdalea	Sporacetigenium	Synergistes	Roseivirga	Thioprofundum	Actinobacillus	Alteromonas	Atopobium	Shimia	Nitrosopumilus	Kandleria	Brevibacterium	Solobacterium	Thauera	Maricurvus	Peptococcus	Rhodopseudomonas	Anaerosinus	Cedecea	Ureaplasma	Francisella	Winogradskyella	Citrobacter	Eggerthia	Moryella	Phocaeicola	Clostridium XVIII	Cohaesibacter	Psychroserpens	Aureispira	Acetanaerobacterium	Chlorophyta	Dietzia	SR1_genera_incertae_sedis	Phaeobacter	Gemella	Lucibacterium	Catenibacterium	Sutterella	Laribacter	Moritella	Centipeda	Aeromonas	Lactobacillus	Enhydrobacter	Salinibacter	Parasporobacterium	Anaerosphaera	Niabella	Nannocystis	Actinomyces	Lishizhenia	Castellaniella	Coprococcus	Fulvivirga	Bradyrhizobium	Saprospira	Ilumatobacter	Staphylococcus	Flavobacterium	Neptuniibacter	Succinatimonas	Sneathia	Photobacterium	Rothia	Planctomyces	Mogibacterium	Tenacibaculum	Leuconostoc	Kiloniella	Thermus	Ensifer	Ekhidna	Meridianimaribacter	Cardiobacterium	Lachnospiracea_incertae_sedis	Cloacibacillus	Gp23	Megamonas	Gp22	Barnesiella	Brachymonas	Escherichia/Shigella	Phycisphaera	Haemophilus	Trabulsiella	Anaerorhabdus	Ruminococcus2	Ruegeria	Amphritea	Bifidobacterium	Turicibacter	Brevundimonas	Hymenobacter	Xylanibacter	Cyclobacterium	Hydrogenoanaerobacterium	Lutibacter	Howardella	Anaerofilum	Hespellia	Bilophila	Bacillus	Bizionia	Saccharibacteria_genera_incertae_sedis	Arcobacter	Lachnospira	Cetobacterium	Slackia	Acidaminococcus	Diplorickettsia	Clostridium III	Weissella	Gp5	Chelonobacter	Gp6	Campylobacter	Abiotrophia	Porphyromonas	Gp2	Gemmiger	Victivallis	Rhodopirellula	Crocinitomix	Lachnobacterium	Rhizobium	Anoxybacillus	Megasphaera	Selenomonas
28A_1	0	1	337	119	0	0	2	0	0	0	0	0	0	0	0	0	0	0	219	0	0	0	0	13	404	0	0	0	0	0	33	0	0	0	0	0	0	29	0	77	1	26	9	0	0	0	0	0	12	0	0	0	0	0	0	0	0	273	0	0	0	40332	0	4042	0	0	0	0	0	0	0	0	0	0	156	0	0	16	0	0	0	107	0	0	0	12	0	0	0	0	0	0	254	1	0	0	0	601	0	1784	0	2	90	0	0	0	0	0	774	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	163	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	26	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	1	0	136	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	3	0	16	0	17	0	1	0	0	251	0	0	16	1	0	0	0	0	0	0	26	0	2	94	0	0	0	0	1	0	0	8	0	0	0	0	0	0	0	0	0	0	181	0	0	0	0	0	0	0	0
091A_2	0	0	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	300	0	563	0	0	0	6	0	0	0	0	2	48	0	0	0	0	0	1	6	0	7	104	9	30	0	2	0	0	0	1	0	0	0	0	0	0	0	0	5631	0	0	0	37	0	3696	0	0	0	0	0	0	0	0	0	0	1321	0	0	16	0	0	0	100	0	0	0	2	0	0	0	0	0	0	156	2	0	2	0	801	0	0	0	0	9	0	0	0	0	0	30378	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	6	0	209	0	0	0	0	2	0	2	0	0	0	0	2	0	0	1	0	0	2	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	1	0	0	9	0	0	0	64	0	0	0	0	0	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	404	93	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	11	0	0	0	0	0	0	5	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	264	0	0	4	0	6	0	46	0	1	0	0	193	0	0	25	7	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	2	0	127	0	0	0	0	0	0	6	0
099A_1	0	2	31	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	17	0	1915	0	0	0	4	0	0	1	0	18	164	0	0	0	0	0	0	15	0	7	0	15	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	6005	0	0	0	48	0	1345	0	0	0	0	0	0	0	0	0	0	945	0	0	74	0	0	0	7	0	0	0	0	0	0	0	5	0	0	2	0	0	0	0	1927	0	1	0	2	17	0	0	0	0	0	25616	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	269	0	0	0	0	0	0	0	118	0	0	10	0	22	0	0	0	0	0	0	7	0	0	0	0	0	1	0	0	0	0	0	628	0	0	0	0	0	0	0	0	0	0	0	1	12	0	2	0	6758	1	0	0	0	0	0	0	0	41	2	0	0	0	0	0	0	0	0	1	0	0	0	5	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	862	12	0	0	0	0	0	0	1	0	0	1	0	2	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	4	2	0	57	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	12	0	0	0	0	0	0	8	0	0	6	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	1	516	0	0	9	0	1	0	420	0	8	0	0	976	0	0	227	1	0	0	0	0	0	0	0	0	0	2	0	0	4	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	175	0
B084A_2	0	3	10	70	0	0	4	0	0	0	0	0	0	0	1	0	2	0	601	0	580	0	0	0	1038	0	0	0	0	1	152	0	0	0	0	1	0	72	0	1	0	1766	69	0	5	0	0	0	44	2	0	0	0	0	0	0	0	8955	0	3	0	276	0	7842	0	0	0	0	0	0	0	0	0	0	2686	0	0	22	0	0	0	186	0	0	0	0	0	0	0	0	0	0	215	0	0	0	0	1029	0	10	0	1	703	0	0	0	0	0	28825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	135	0	2100	0	0	6	0	23	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	10	304	0	0	233	0	0	0	0	0	0	0	0	0	0	2	0	85	0	0	274	0	0	0	0	0	0	0	0	0	0	4	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	440	141	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	1456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	371	0	0	0	0	8	0	13780	0	1	0	1	73	0	0	56	90	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76	0	0	0	0	0	0	0	0
099A_2	0	2	27	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	11	0	1815	0	0	0	10	0	0	1	0	16	145	0	0	0	0	0	0	11	0	4	0	13	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	5959	0	0	0	20	0	1401	0	0	0	0	0	0	0	0	0	0	956	0	0	68	0	0	0	6	0	0	0	0	0	0	0	5	0	0	2	0	0	0	0	1765	0	0	0	1	9	0	0	0	0	0	25294	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	270	0	0	0	0	0	0	0	115	0	0	10	0	22	0	0	0	0	0	0	4	0	0	0	0	0	1	0	0	0	0	0	1304	0	0	0	1	0	0	0	0	1	0	0	1	4	0	1	0	7744	0	0	0	0	0	0	0	0	48	2	0	0	0	0	0	0	0	0	1	0	0	0	5	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	892	12	0	0	0	0	0	0	1	0	0	1	0	2	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	4	0	0	56	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	6	0	0	1	0	0	0	8	0	0	3	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	1	510	0	0	9	0	2	0	404	0	23	0	0	878	0	0	212	1	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0	0	0	0	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	173	0
B084A_1	0	3	12	79	0	0	4	0	0	0	0	0	0	0	1	0	2	0	493	0	612	0	0	0	1036	0	0	0	0	1	161	0	0	0	0	1	4	79	0	2	0	1803	11	0	6	0	0	0	44	3	0	0	0	0	0	0	0	9088	0	3	0	388	0	7825	0	0	0	0	0	0	0	0	0	0	2755	0	0	23	0	0	0	184	0	0	0	0	0	0	0	0	0	0	218	0	0	0	0	1092	0	9	0	1	809	0	0	0	0	0	29404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	163	0	2143	0	0	6	0	23	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	306	0	0	186	0	0	0	0	0	0	0	0	0	0	5	0	77	0	0	279	0	0	0	0	0	0	0	0	0	0	3	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	436	173	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1581	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	426	0	0	0	0	8	0	15424	0	0	0	0	92	0	0	62	92	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	243	0	0	0	0	0	0	0	0
B028A_2	0	0	77	5	0	0	2	0	0	0	0	0	0	0	0	0	0	0	143	0	9	0	0	8	171	0	0	0	0	1	61	0	0	0	0	0	0	8	0	128	8	32	14	0	0	1	0	0	7	1	0	0	0	0	0	0	0	1496	0	0	0	42491	0	2932	0	0	0	0	0	0	0	0	0	0	499	0	0	17	0	0	0	12	1	0	0	3	0	0	0	2	2	0	186	2	0	0	0	244	0	2310	0	0	114	0	0	0	0	0	1245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	204	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	40	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	124	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	2	0	0	0	0	0	5	0	171	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	883	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	262	0	0	17	0	12	0	29	0	19	0	0	109	0	0	2	2	0	0	1	0	0	0	31	0	0	98	0	0	0	0	0	0	0	7	0	0	0	1	0	0	1	0	0	0	29	0	0	0	0	0	0	18	0
B006A_1	0	0	3	175	0	0	7	0	0	0	0	0	0	0	0	0	6	0	735	0	19	0	0	0	4225	0	0	4	0	1	31	0	0	0	0	0	28	519	0	0	0	6847	10	0	0	0	0	0	0	2	0	0	0	0	0	0	0	8879	0	0	0	384	0	6118	0	0	0	0	0	0	0	0	0	0	8247	0	0	109	1	0	0	51	0	0	0	0	0	0	0	0	0	0	396	0	0	0	0	1307	0	13	0	0	206	0	0	0	0	0	31610	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	15	0	0	0	200	0	1776	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	1	0	0	0	0	0	0	6	0	0	0	0	1	1	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	69	0	0	75	0	0	0	0	0	0	0	0	0	0	18	0	0	2	0	0	0	0	1	1	0	0	0	0	0	0	1699	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	5	0	0	0	0	0	0	15	0	0	750	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	133	0	0	373	0	5	0	185	0	0	0	0	294	0	0	25	13	0	0	0	0	1	0	0	0	1	394	0	0	2	0	0	0	0	1	0	0	1	0	0	0	2	0	1	0	582	0	0	0	0	0	0	16	0
20A_2	0	5	21	16	0	0	55	0	0	0	0	0	0	0	0	0	0	0	284	0	2763	0	0	0	0	1	0	3	0	1	153	0	0	0	0	0	0	89	18	7465	1	4338	0	0	0	0	0	0	122	26	0	0	0	0	0	0	0	3233	0	0	0	21003	0	4388	1	0	0	0	1	0	0	0	0	0	213	0	0	767	11	0	0	211	0	0	0	0	0	0	1	1	0	0	840	0	0	2	0	3112	0	2	0	0	2069	0	0	0	0	0	16153	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	98	0	32	0	1	0	72	0	436	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	42	0	0	0	0	0	10	0	0	0	18	0	0	0	0	4	0	0	1	2	0	0	0	23	0	0	0	0	0	0	0	1	232	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	3	0	1	0	1	0	0	0	763	78	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	8	0	0	0	1	0	0	0	1	0	0	0	0	0	150	0	0	0	0	0	0	0	0	4	0	0	186	0	0	0	0	8	0	0	0	0	0	0	14	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	288	0	0	1758	0	2	0	881	0	3	0	1	664	0	0	959	6	0	0	1	0	0	0	0	0	0	1679	0	0	0	0	0	0	0	0	0	0	36	2	0	0	1	0	1	0	0	0	0	0	0	0	0	11	0
20A_1	0	5	21	17	0	0	72	0	0	0	0	0	0	0	0	0	0	0	328	0	2969	0	0	0	0	1	0	4	0	1	157	0	0	0	0	0	0	111	21	7803	1	4436	0	0	0	0	0	0	127	34	0	0	0	0	0	0	0	3453	0	0	0	22619	0	4362	1	0	0	0	1	0	0	0	0	0	226	0	0	816	11	0	0	224	0	0	0	0	0	0	1	1	0	0	951	0	0	0	0	3490	0	2	0	1	2470	0	0	0	0	0	16476	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	102	0	32	0	1	0	74	0	450	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	39	0	0	0	0	0	7	0	0	0	11	0	0	0	0	0	0	1	1	17	0	0	0	23	0	0	0	0	0	0	1	1	209	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	3	0	1	0	1	0	0	0	734	84	0	1	1	0	0	0	0	0	0	1	0	2	0	0	0	0	10	0	0	0	0	0	0	0	1	0	0	0	0	0	152	0	0	0	0	0	0	0	0	4	0	0	178	0	0	0	0	8	0	0	0	0	0	0	17	0	0	2	0	0	0	0	4	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	287	0	0	1769	0	2	0	926	0	0	0	0	734	0	0	1062	6	0	0	0	0	0	0	0	0	1	1734	0	0	0	0	0	0	0	0	0	0	37	0	0	0	1	0	1	0	0	0	0	0	0	0	0	19	0
084A_1	0	0	4	16	0	0	1	0	0	0	0	0	0	0	12	0	0	1	171	0	42	0	0	0	609	0	0	1	0	3	71	0	0	0	0	0	14	18	1	10	14	1522	5	0	2	0	0	0	4	1	0	0	0	0	0	0	0	9929	0	6	0	116	0	7346	0	0	0	0	0	0	0	0	0	0	3203	0	0	4	0	0	0	49	0	0	0	0	0	0	0	0	0	0	245	0	0	0	0	1034	0	0	0	2	784	0	0	0	0	0	25511	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	45	0	888	0	0	10	0	13	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	7	0	0	0	0	5	112	0	0	78	0	0	0	25	0	0	0	0	0	0	3	0	10	0	0	185	0	0	0	0	0	0	0	0	0	0	2	0	0	6	0	0	0	0	2	0	0	0	0	0	0	0	321	103	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	516	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	282	0	0	76	0	11	0	6006	0	0	0	0	215	0	0	18	14	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	604	0	0	0	0	0	0	2	0
B003A_1	0	1	160	414	0	0	7	0	0	0	0	0	0	0	0	0	0	0	67	0	16	0	0	0	4	0	0	1	0	0	45	0	0	0	0	0	13	275	0	99	1	462	0	0	0	1	0	0	4	2	0	0	0	0	0	0	0	6856	0	0	0	74975	0	3984	0	0	0	0	0	0	0	0	0	0	69	0	0	4	0	0	0	112	0	0	0	0	80	0	0	1	0	0	73	0	0	0	0	1005	0	11898	0	1	53	0	0	0	0	0	2286	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	362	0	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	3	0	1	0	12	0	0	0	0	7	54	0	0	17	0	3	0	97	0	0	0	0	0	0	0	0	144	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	96	12	0	0	1	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	352	0	0	0	2	10	0	0	0	0	0	0	2	0	0	189	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	83	0	0	2606	0	127	0	567	0	62	0	0	135	0	0	21	48	0	0	0	0	0	0	0	0	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	660	0	0	0	0	0	0	1	0
B003A_2	0	2	142	225	0	0	4	0	0	0	0	0	0	0	0	0	0	0	51	0	7	0	0	1	8	0	0	0	0	0	37	0	0	0	0	0	7	207	0	90	1	448	0	0	0	1	0	0	4	1	0	0	0	0	0	0	0	5628	0	4	0	64117	0	3837	0	0	0	0	0	0	0	0	0	0	54	0	0	4	0	0	0	107	0	0	0	0	73	0	0	1	0	0	63	0	0	1	0	717	0	10695	0	0	51	0	0	0	0	0	2362	0	0	0	0	1	0	0	0	0	0	0	0	0	71	0	0	0	0	0	0	0	193	0	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	18	0	1	0	19	0	0	0	0	64	53	0	0	8	0	3	0	49	0	0	0	0	0	0	0	0	123	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	46	11	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	321	0	0	0	1	7	0	0	1	0	0	0	1	0	0	163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82	0	0	2407	0	120	0	366	0	197	0	0	114	0	0	14	46	0	0	3	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	197	1	0	0	0	0	0	1	0
B098A_1	0	0	4	91	0	0	6	0	0	0	0	0	0	0	0	0	0	0	383	0	17	0	0	0	2425	0	0	0	0	2	90	0	0	0	0	0	2	15	0	350	2207	4279	14	0	2	0	0	0	0	1	0	0	0	0	0	0	0	2128	0	0	0	935	0	7140	0	0	0	0	0	0	0	0	0	0	779	0	0	22	0	0	0	84	0	0	0	1	0	0	0	0	0	0	144	0	0	0	0	643	0	7	0	0	1156	0	0	0	0	0	45206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	3269	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	472	0	0	56	0	0	0	1	0	0	0	0	0	0	0	0	13	0	0	177	0	0	0	0	1	0	0	0	0	0	0	0	0	24	0	0	0	0	0	1	0	0	0	0	0	0	502	241	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	386	0	0	31	0	2574	0	247	0	3	0	0	45	0	0	80	1	0	0	0	0	2	0	0	0	0	142	0	0	0	0	2	0	1	2	0	2	0	0	0	0	0	0	0	0	181	23	0	0	0	0	0	23	0
B098A_2	0	0	3	74	0	0	5	0	0	1	0	0	0	0	0	0	0	0	398	0	16	0	0	0	2455	0	0	0	0	1	90	0	0	0	0	0	0	11	0	452	2196	4191	80	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2081	0	0	0	725	0	7161	0	0	0	0	0	0	0	0	0	0	864	0	0	23	0	0	0	87	0	0	0	0	0	0	0	0	0	0	142	0	0	0	0	598	0	3	0	0	1026	0	0	0	0	0	44459	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	3207	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	4	465	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	175	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	1	0	0	0	0	0	0	449	238	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1039	0	0	31	0	2518	0	223	0	4	0	1	42	0	0	78	1	0	0	1	0	2	0	0	0	0	139	0	0	0	0	1	0	1	1	0	1	0	1	0	0	0	0	0	0	48	22	0	0	0	0	0	8	0
B028A_1	0	0	76	5	0	0	3	0	0	0	0	0	0	0	0	0	0	0	167	0	8	0	0	2	170	0	0	0	0	0	67	0	0	0	0	0	1	10	0	156	9	44	8	0	0	1	0	0	7	1	0	0	0	0	0	0	0	1591	0	0	0	44800	0	2941	0	0	0	0	0	0	0	0	0	0	499	0	0	17	0	0	0	15	1	0	0	2	0	0	0	2	2	0	190	2	0	0	0	261	0	2343	0	0	147	0	0	0	0	0	1326	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	210	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	42	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	41	0	0	126	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	3	0	0	0	0	0	6	0	168	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	954	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110	0	0	19	0	17	0	36	0	5	0	0	114	0	0	2	2	0	0	0	0	0	0	32	0	0	101	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	97	0	0	0	0	0	0	29	0
